Name,Address,City,lng,lat,Phone,Website,Introduction,Open_Time,Rating,Suggested_Duration,lng.1,lat.1
牛首山文化旅游区Niushou Mountain Cultural Tourism Zone,南京市江宁区宁丹大道18号,Nanjing,118.738472,31.90754,400-165-6363,https://www.niushoushan.net,牛首山又名天阙山，因山顶东西双峰形似牛头双角而得名。牛首山文化旅游区风光秀美，素有“春牛首”之美誉，古有牛首烟岚、祖堂振锡等金陵美景，还遗存了很多历史古迹，如岳飞抗金故垒、郑和文化园等。佛顶宫佛顶宫以佛祖顶骨舍利供奉为主题，分为大穹顶和小穹顶两个部分，寓意外供养和内供养。佛顶宫利用原有矿坑建地宫，地下六层，地上三层，很是庄严气派。近年，释迦牟尼佛顶骨舍利将在牛首山被长期供奉，游客可于特殊佛教节日前往佛顶宫瞻礼，具体瞻礼舍利的时间可致电景区咨询。千年历史牛首山文化旅游区是一个佛教圣地。梁朝天监二年（503年）司空徐度修建的佛窟寺是牛首山的首座寺庙，南唐后主李煜更名为弘觉寺；唐代宗“曾梦牛首山辟支佛来见”故有辟支塔。唐代，被誉为“东夏之达摩”的法融禅师在牛首山创立了牛头禅宗，古称“江表牛头”，牛头禅宗的创立使印度禅真正蜕变为中华禅起到了重要的桥梁作用。 桃花溪桃花溪位于牛首山东入口，总占地面积14.87公顷，约220亩，桃花品种选取了适合南京地区生长的26种桃花，是牛首山景区打造的一处新景观。一条小溪自吟龙湖蜿蜒而下，溪水潺潺，两侧种满了桃花，春季里花苞渐次盛开，一片花海令人陶醉。,全年 08:30-17:30,4.7,建议游览时间：4小时 - 6小时,118.738472,31.90754
南京博物院Nanjing Museum,南京市玄武区中山东路321号,Nanjing,118.820036,32.042795,025-84807923,http://www.njmuseum.com/,南京博物院坐落在紫金山南麓、中山门内北侧。在这里你既可以看到《盗墓笔记》中金缕衣这样的古代文物，也可欣赏书画艺术，甚至在老街道上走一走，来一场穿越之旅。博物馆历史博物院于1933年筹建，1948年建成，主殿模仿天津独乐寺山门的模样。2009年扩建，2013年11月6日对外开放后，成了仅次于中国国家博物馆的中国第二大博物馆，共设历史馆、特展馆、数字馆、艺术馆、民国馆、非遗馆六馆。博物馆布局博物院的主要建筑分左右两块，右边走一段路后是仿独乐寺的博物馆老主殿，现已不再用作陈列展品，而成了安检的地方，“独乐寺”后是历史馆，其他五馆都在左手边。你既可以从左边五馆游览到右边历史馆，也可以从历史馆游览到左边五馆。建议先去历史馆，因为有“镇院之宝”的特展馆就在历史馆左侧，可按历史馆-特展馆-数字馆-民国馆-艺术馆-非遗馆的顺序，游览完整个博物院。历史陈列馆历史馆陈列着从远古到明清按时代顺序排列的文物，行走其中，好像漫步于江苏上下五千年的文明里。值得一看的有：远古时代的恐龙骨架；金缕衣、银缕衣；南北朝时用一块块砖砌成的墙，细看上面隐隐刻着“竹林七贤”的砖雕等。特展馆特展馆“盛世华彩”区陈列清朝官窑，“钟表精品展”陈列中国古代计时器、西洋钟表，“走进佛像”有金光闪闪的精美佛像。而“镇院之宝”明正统初年（公元1436-1439年）的鎏金藏式佛塔，一件展品占了一间房间，光那排场就足够震撼了。这件镇院之宝出土于南京牛首山的弘觉寺塔地宫，方形的红色砂岩基台上，四个青花瓷瓶围绕着中间的金色佛塔，佛塔的前方有一个小小的金棺银椁，棺椁上躺着金色释迦牟尼卧像。数字馆数字馆用现代技术展现古代题材，展品诸如动画《南都繁绘景物图卷》（类似世博会中国馆里的清明上河图）。比较有意思的是，这里有很多互动游戏，你可以触摸屏幕来玩古代背景的游戏。艺术馆艺术馆陈列雕塑、书法、绘画。展出的傅抱石的画，用中国水墨画来画东欧的红顶建筑、广场和雕塑，还是很特别的。民国馆民国馆把整个室内都做成了民国时期街道的模样。街道上摆着有轨电车，街两旁民国风铺子林立并开门营业，出售的当然也是能勾起人回忆的东西。在一家南北杂货铺，你可以买到小时候吃过的“老鼠屎”（又名金桔丸）。邮政局可以盖南京博物院邮戳，邮政局楼上的先锋书店，服务员都穿着当时的服装，要寄明信片书店也有买邮票。非遗馆非遗馆展出刻板、剪纸、金箔、花灯等民间手工艺。能在此欣赏昆曲、白局、评弹等表演，表演参考时间：14:00-16:00。在小剧场则能免费看3D影片，片长约20分钟。非遗馆的小剧场在双休日与节假日晚上19:00若有传统曲艺表演，也会对外开放，需要买票。 ,全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00,4.6,建议游览时间：2小时 - 4小时,118.820036,32.042795
鸡鸣寺Jiming Temple,南京市玄武区鸡鸣寺路1号,Nanjing,118.790053,32.063143,"025-83361123, 025-57715595",,鸡鸣寺也叫古鸡鸣寺，北临玄武湖，始建于西晋，是南京较为古老的佛寺之一。清明时在寺前道路可观赏樱花花海，夏季登上药师佛塔可眺望玄武湖的荷花。古寺历史鸡鸣寺历史可追溯至东吴的栖玄寺，寺址所在为三国时属吴国后苑之地，300年（西晋永康元年）在此倚山造室，始创道场。东晋以后，此处被辟为廷尉署，至527年（南朝梁普通八年）梁武帝在鸡鸣埭兴建，使这里从此真正成为佛教胜地。1387年（明洪武二十年）明太祖朱元璋下令拆去旧屋，扩大规模，重建寺院。朱元璋题额为“鸡鸣寺”。后经明宣德、成化、弘治年间扩建，院落规模宏大。后来古寺毁于咸丰战火，虽同治年间重修，规模已大大缩小，但香火却一直旺盛不衰。山门鸡鸣寺山门位于鸡鸣寺路左侧石级上，山门正中是“古鸡鸣寺”四个金字。步入山门，寺中环境十分幽雅，佛殿精美，香火缭绕，左为施食台，台前为弥勒殿，其上是大雄宝殿和观音楼。此外寺内还有韦驮殿、志公墓、藏经楼、念佛堂、药师佛塔等主要建筑。大雄宝殿大雄宝殿又名毗卢宝殿，是鸡鸣寺的主殿，殿内正中供奉三身佛中的毗卢佛（法身佛像），两边为文殊、普贤两大菩萨，而东西两旁供二十四诸天。药师佛塔药师佛塔共七层八面，塔内供奉着一座药师佛铜像。这座塔还是电视剧《新白娘子传奇》中拍摄雷峰塔的地方（当时西湖雷峰塔已倒，而新的还没修好）。拜佛求签寺内可以求签，还能写许愿牌然后挂起来。每当农历二月十九、六月初九、九月十九（即观音菩萨诞生、成道、出家纪念日），众多游客来此拜佛敬香。拜佛并不是在大殿内，而是在香台前的大平台上。香台前有支巨大的红烛，外侧台上有一排莲花油灯，可供香客燃香，内侧台上则摆着一柱柱燃着的香。胭脂井寺的东北边还有一口胭脂井，相传隋灭陈时，陈后主陈叔宝与其妃张丽华、孔贵嫔曾藏入井中。因为这段往事，很多游客慕名前来。 ,全年 07:00-17:30;全年 07:30-17:00,4.5,建议游览时间：1小时 - 2小时,118.790053,32.063143
夫子庙Confucius Temple,南京市秦淮区秦淮河风景区,Nanjing,118.783664,32.022755,"025-52209788, 025-52855667",http://www.njfzm.net/index.php,夫子庙始建于宋代，位于秦淮河北岸的贡院街旁，原是祀奉孔子的地方，后多次遭毁并重建。它与北京孔庙、曲阜孔庙、吉林文庙并称为中国四大文庙，也是夫子庙秦淮河风光带主要的景点。民间艺术大观园夫子庙里有一个民间艺术大观园，你可以观看现场制作灯彩、剪纸、微雕等工艺品，听地方戏曲和南京白局。进夫子庙时可以留意一下演出时间表，演出时长约10分钟。春节灯会每年春节至元宵节期间夫子庙都会举行春节灯会（又称秦淮灯会、金陵灯会），尤其元宵节时万灯齐明，游人如海。此外，夫子庙也不时地举办“雨花石展”、“古代礼仪文化展”、“古代雅乐表演”等展演活动，十分热闹。夫子庙建筑布局整个夫子庙建筑群前面是文庙，后面为学宫，布局左右对称，自南向北构成一个儒学文化中轴线。迈过棂星门和大成门，就是中心庙院。石砌甬道直通大成殿，殿前立着一尊4米多高的孔子青铜像，甬道两旁有十二贤人的汉白玉塑像。大成殿大成殿是夫子庙的主殿，里面悬挂着一幅6米多高的孔子画像，被称为中国孔庙一大杰作。大殿四壁上是38幅彩石镶嵌壁画《孔子圣迹图》，反映了孔子的生平事迹。民间艺术大观园从大成殿后门走出就到了学宫，包括明德堂、尊经阁（即民间艺术大观园）等。大门上有清末状元秦大士题写的“东南第一学”门匾。学宫南侧矗立着四块石碑，其中《孔子问礼图碑》最为著名，记载了孔子从家乡去周王城洛阳考察典章制度的经历，可谓“镇庙之宝”。 秦淮河小吃参观夫子庙之余，自然还要体验一把秦淮河小吃，这一带餐饮店很多，蟹壳黄烧饼、开洋干丝、牛肉锅贴、鸡丝浇面、鸭血粉丝汤等一定要试试。另外，这里的商铺也鳞次栉比，你可以挑选一些价钱实惠又具有秦淮特色的纪念品。 ,全年 09:00-22:00,4.5,建议游览时间：2小时,118.783664,32.022755
南京总统府Presidential Palace of Nanjing,南京市玄武区长江路292号,Nanjing,118.792234,32.046276,"025-84578888, 025-84578700",http://www.njztf.cn/,南京总统府是中国近代建筑遗存中规模较大、保存较完整的建筑群，也是南京建筑的主要代表之一，中国近代历史的重要遗址，现已辟为中国近代史遗址博物馆。历史沿革南京总统府既有中国古代传统的江南园林，也有近代西风东渐时期的建筑遗存，至今已有600多年的历史。其历史可追溯到明初的归德侯府和汉王府，清代被辟为江宁织造署、两江总督署等，南巡均以此为行宫。太平天国定都天京（今南京）后，在此基础上扩建。1912年1月1日，在此宣誓就职临时大总统，辟为大总统府，后来又为南京总统府。总统府内部分布这是一座中西结合的院落，既有设计精细的西式办公楼、高耸的圆柱、深邃的回廊，又有清幽雅致的中式园林。目前总统府分为中、西、东3个参观区域，分布着一系列的史料展馆和复原陈列，还有一些再现历史场景的人物蜡像。你可以先沿着中轴线依次游览中区，再从尾端进入西区或东区。门楼及门楼的北边门楼是总统府的标志性建筑，气势雄伟，是很多游客一定会留影的地方，从此进入就是中区。大堂是一座中式建筑，横梁上是“天下为公”匾额。一直往前，有总统府文物史料展馆。 门楼的西边若从门楼进去往西走，先看到的则是煦园（即西花园），亭台楼阁、小桥流水，是典型的江南园林，里面保留着石舫、夕佳楼、忘飞阁、印心石屋、漪澜阁等遗址景点。门楼的东边门楼的东边是东苑（即东花园），有行政院、陶林二公祠、马厩等各时期的建筑。这里还有太平天国展馆，以书房、后宫、机密房等模拟景观，再现了宫殿的昔日辉煌。 ,3/1-10/14 周二-周日 08:30-18:00;10/15-2/28 周二-周日 08:30-17:00;全年 周一 全天不开放 ;中国法定节假日 08:30-18:00,4.7,建议游览时间：2小时 - 4小时,118.792234,32.046276
石臼湖Shijiu Lake,南京市溧水区,Nanjing,118.884159,31.422637,,,石臼湖是江苏省南京市溧水区、高淳区和安徽省马鞍山市当涂县三区县间的界湖，又名北湖。石臼湖和秦淮河有着扯不开的关系，属于一条水系内，这里盛产鱼虾河鲜以及各种水产蔬菜等等，自古以来就是沿湖村民的重要收入之源头，是金陵人家的生存倚靠。因而也有“南京小垦丁，高淳小镰仓”之称。李白畅游这里，还特意题诗一首，所谓“湖与元气运，烟波浩难止，龟游莲叶上，鱼戏芦花里。,全年 全天开放,4.6,建议游览时间：1小时 - 2小时,118.884159,31.422637
老门东历史街区Laomendong Historic District,南京市秦淮区夫子庙街道剪子巷632号,Nanjing,118.782475,32.013695,025-58776868,,"老门东历史街区是南京老城南地区的古地名，位于南京夫子庙箍桶巷南侧一带。历史上的老城南是南京商业及居住较为发达的地区，如今按照传统样式复建传统中式木质建筑、马头墙，再现老城南原貌。街头雕塑牌坊周围有4组街头雕塑，分别是黄包车夫、糖芋苗、老邮筒、学童进馆（上私塾）。雕塑人物全""穿""着明清服饰，惟妙惟肖地再现了老门东明清时的民居生活。 ",全年 全天开放,4.6,建议游览时间：1小时 - 2小时,118.782475,32.013695
侵华日军南京大屠杀遇难同胞纪念馆The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders,南京市建邺区水西门大街418号,Nanjing,118.736593,32.037589,"025-86612230, 19371213",http://www.19371213.com.cn/,侵华日军南京大屠杀遇难同胞纪念馆是建立在南京大屠杀江东门集体屠杀遗址之上的一座专题性纪念馆，于1985年8月15日正式建成开放。经过30多年的建设与发展，已经成长为具有较高国际知名度的中国国家一级博物馆。目前，纪念馆含侵华日军南京大屠杀史实展、“三个必胜”主题展、“二战中的性奴隶——日军‘慰安妇’制度及其罪行展”等三个基本陈列，展示了南京大屠杀、日军“慰安妇”制度、中国人民抗日战争伟大胜利的历史。共展出近4000幅照片，9992件各类文物，262部影像资料，智慧而严肃地表达了暴行、抗争、胜利、审判、和平五大主题。其中，美国牧师约翰·马吉牧师用于拍摄南京大屠杀历史影像的摄影机和影像资料已经被联合国教科文组织列入《世界记忆名录》。纪念馆内现存三处南京大屠杀“万人坑”遗址，分别展示了1984年、1998-1999年以及2006年发现的遇难同胞遗骸。2015年12月，“三个必胜”新展馆和分馆南京利济巷慰安所旧址陈列馆建成后，纪念馆总占地面积10.3万平方米，建筑面积5.7万平方米，展陈面积达2万平方米。分布有7处广场、23座单体雕塑和一座大型组合雕塑、8处各种形式的墙体、17座各种造型的碑体。纪念馆是关于南京大屠杀历史、日军“慰安妇”制度、世界反法西斯战争胜利的综合型博物馆，大量的文物、照片、历史证言、影像资料、档案以及遗址对历史真相做了完整的阐述，每年都会投入资金对南京大屠杀幸存者、“慰安妇”制度受害者、抗战老兵等群体进行援助。,全年 周二-周日 08:30-17:30;全年 周一 全天不开放,4.8,建议游览时间：2小时,118.736593,32.037589
明孝陵Ming Xiaoling Mausoleum,南京市玄武区石象路7号,Nanjing,118.832813,32.054013,025-84433582,http://www.zschina.org.cn/,明孝陵在钟山风景区内，是明太祖朱元璋与马皇后的陵墓，陵墓宏伟壮观，代表了明初建筑和石刻艺术的成就，也直接影响了明清两代帝王陵寝的形制。墓区分布墓区总体布局分为两部分，一是蜿蜒曲折的陵墓神道，二是陵寝主体建筑，即朱元璋葬地。明孝陵寝主体建筑包括文武方门（即正门）、享殿、方城、明楼、宝顶（即崇丘），皆按传统的中轴线配制，并筑有围墙。明孝陵“前朝后寝、前方后圆”的陵宫布局设计和方城明楼、宝城宝顶等建筑形式，开创了中国明清帝王陵寝建设规制的先河，被誉为中国帝陵发展史上的一座里程碑。神道神道是从下马坊至明孝陵正门，长达2400米，曲折幽深，一改中国传统帝陵神道笔直的格局。神道又分为石象路与翁仲路两段，两边的石雕是一大亮点，分别立有高大的石兽12对和文臣、武将各2对。石雕由整块石料雕凿而成，造型简朴、图案清晰、工艺精湛。每到秋季，这里的银杏和红枫也是一景，吸引着大批热爱摄影的游客。享殿享殿也叫孝陵殿，本来是供奉朱元璋和马皇后神位之处，原殿已毁，尚存3层须弥座台基、6块浮雕云龙山水大陛石。现在这里是明孝陵史料陈列室。方城方城是孝陵宝顶前面的一座巨大建筑，外部用大条石建成，底部为须弥座。而明楼就在方城之上，原本的黄瓦大屋顶已毁，后来进行了修复。沿着方城左右两侧的步道即可登上明楼。宝顶方城以北则是直经约400米的宝顶，也称宝城，是朱元璋和马皇后的寝宫所在地。从方城前正中的拱门进去，里面是圆拱形隧道，爬54级台阶走出隧道，外面就是宝顶南墙，墙上有后人刻的“此山明太祖之墓”，到这里就不能再往前了。宝顶下面是朱元璋墓的地宫，没有进行挖掘。梅花园和樱花园梅花山在明孝陵正南边，遍植梅花，山下有梅花谷，共13000余株梅树。明孝陵蜡梅园分布于金水桥至明楼中轴线两侧，占地80余亩，共植蜡梅3000余株，涵盖3大品种群，60多个品种，每年的12月至来年的2月下旬，均为蜡梅观赏期。梅花山上还可以看到孙权墓。神道石象路附近有樱花园，每到3月底4月初来此赏樱的游客络绎不绝。红楼文艺苑是一处体现红楼文化和浓郁江南风格的园林景观。而北边的紫霞湖则是避暑纳凉的佳地。 ,2/1-11/30 06:30-18:30;12/1-1/31 07:00-17:30,4.6,建议游览时间：2小时 - 4小时,118.832813,32.054013
玄武湖景区Xuanwu Lake,南京市玄武巷1号,Nanjing,118.793822,32.072326,"025-58869797, 025-83614286",http://www.xuanwuhu.net/,玄武湖古名桑泊、后湖，位于钟山脚下，是中国规模较大的皇家园林湖泊，与嘉兴南湖、杭州西湖并称“江南三大名湖”。玄武湖分为五块绿洲，荟萃了许多的名胜古迹，现在是南京有名的文化休闲公园。南岸观湖从南京火车站出来，南面就是环湖路，你可以环湖漫步，欣赏玄武湖的景色。若是夏天来到这里，可以看到大片荷花盛开，水面一片碧绿，尤为迷人。湖的南岸有一段明城墙（即明城垣史博物馆所在的城墙），在此观湖也别有一番风味。五洲你可以乘坐脚踏船或电动船来游湖，在湖上看五洲及周围的城市风光，十分惬意。当然，要领会玄武湖的美，还需上到五洲去步行，慢慢游览。五洲之间有桥堤相通，可随意穿行。春天游樱洲，能看到缀满枝头的樱花；这里还有荷花园，是看荷花、拍照的好去处。环洲来到环洲可以好好欣赏一下这里的假山瀑布，众多太湖假山石造型各异，其中的童子拜观音石看起来就像是一个小孩在拜观音，你不妨研究研究。环洲西北部小山上还有郭璞墩，是湖区内的高点。菱洲、梁洲、翠洲在菱洲的台菱花架能眺望钟山、小九华山的景色。在梁洲有盆景园、杜鹃园、览胜楼等景观。而在翠洲，四处是松柏、竹柳等植物，绿意盎然，非常适合散心。此外，在玄武湖东边还有一处情侣园，园内有郁金香、桃花等多种植物，景色宜人，常看到新人来此拍婚纱照。 ,全年 08:00-17:00,4.7,建议游览时间：2小时 - 6小时,118.793822,32.072326
