Country,Year,Visitors
Japan,2000,299176
Philippines,2000,4436
Singapore,2000,58513
Thailand,2000,19623
Indonesia,2000,14548
Malaysia,2000,115748
South Korea,2000,96849
USA,2000,108455
Canada,2000,17388
UK,2000,28567
France,2000,32960
Germany,2000,30394
Italy,2000,19239
Switzerland,2000,4842
Sweden,2000,5652
Russia,2000,7024
Spain,2000,7162
Australia,2000,20522
"Hong Kong, China",2000,248958
"Macao, China",2000,21653
"Taiwan, China",2000,357342
Japan,2005,635260
Philippines,2005,21791
Singapore,2005,133521
Thailand,2005,63427
Indonesia,2005,36298
Malaysia,2005,232236
South Korea,2005,353345
USA,2005,303362
Canada,2005,65294
UK,2005,77726
France,2005,77917
Germany,2005,119195
Italy,2005,51965
Switzerland,2005,14938
Sweden,2005,21332
Russia,2005,21867
Spain,2005,29474
Australia,2005,73928
"Hong Kong, China",2005,413467
"Macao, China",2005,36501
"Taiwan, China",2005,711583
Japan,2010,1129775
Philippines,2010,38971
Singapore,2010,218380
Thailand,2010,85253
Indonesia,2010,64835
Malaysia,2010,235926
South Korea,2010,553331
USA,2010,548192
Canada,2010,171362
UK,2010,182089
France,2010,122234
Germany,2010,244057
Italy,2010,73654
Switzerland,2010,24371
Sweden,2010,29155
Russia,2010,45431
Spain,2010,30800
Australia,2010,158935
"Hong Kong, China",2010,569562
"Macao, China",2010,71677
"Taiwan, China",2010,1159263
Japan,2011,1249206
Philippines,2011,41954
Singapore,2011,239092
Thailand,2011,84927
Indonesia,2011,78389
Malaysia,2011,231752
South Korea,2011,637006
USA,2011,609512
Canada,2011,197170
UK,2011,205710
France,2011,142915
Germany,2011,312351
Italy,2011,100078
Switzerland,2011,32177
Sweden,2011,31235
Russia,2011,52231
Spain,2011,32082
Australia,2011,188832
"Hong Kong, China",2011,655964
"Macao, China",2011,74495
"Taiwan, China",2011,1263742
Japan,2012,1219303
Philippines,2012,45548
Singapore,2012,270166
Thailand,2012,99093
Indonesia,2012,95112
Malaysia,2012,267864
South Korea,2012,649399
USA,2012,651505
Canada,2012,247105
UK,2012,230102
France,2012,159688
Germany,2012,347216
Italy,2012,115336
Switzerland,2012,32419
Sweden,2012,36151
Russia,2012,54369
Spain,2012,36986
Australia,2012,212149
"Hong Kong, China",2012,715111
"Macao, China",2012,81436
"Taiwan, China",2012,1366671
Japan,2013,439400
Philippines,2013,28269
Singapore,2013,67429
Thailand,2013,30296
Indonesia,2013,41472
Malaysia,2013,94160
South Korea,2013,327453
USA,2013,184712
Canada,2013,63359
UK,2013,52147
France,2013,45511
Germany,2013,92110
Italy,2013,30156
Switzerland,2013,8261
Sweden,2013,14014
Russia,2013,16486
Spain,2013,15591
Australia,2013,50570
"Hong Kong, China",2013,129068
"Macao, China",2013,5071
"Taiwan, China",2013,811792
Japan,2014,419280
Philippines,2014,23584
Singapore,2014,68558
Thailand,2014,21030
Indonesia,2014,35002
Malaysia,2014,98686
South Korea,2014,348682
USA,2014,196864
Canada,2014,66324
UK,2014,53943
France,2014,43588
Germany,2014,98626
Italy,2014,31183
Switzerland,2014,8634
Sweden,2014,13397
Russia,2014,17380
Spain,2014,17974
Australia,2014,53490
"Hong Kong, China",2014,144170
"Macao, China",2014,6150
"Taiwan, China",2014,850219
Japan,2015,397104
Philippines,2015,23506
Singapore,2015,66501
Thailand,2015,21403
Indonesia,2015,32332
Malaysia,2015,93550
South Korea,2015,358214
USA,2015,209899
Canada,2015,75996
UK,2015,54009
France,2015,44066
Germany,2015,98979
Italy,2015,32146
Switzerland,2015,8026
Sweden,2015,11568
Russia,2015,17694
Spain,2015,16338
Australia,2015,53500
"Hong Kong, China",2015,140427
"Macao, China",2015,7071
"Taiwan, China",2015,894220
Japan,2016,414889
Philippines,2016,28284
Singapore,2016,68466
Thailand,2016,25793
Indonesia,2016,33158
Malaysia,2016,91107
South Korea,2016,407723
USA,2016,225373
Canada,2016,78812
UK,2016,59919
France,2016,46447
Germany,2016,103154
Italy,2016,34374
Switzerland,2016,8574
Sweden,2016,12112
Russia,2016,21253
Spain,2016,18927
Australia,2016,60124
"Hong Kong, China",2016,153754
"Macao, China",2016,8219
"Taiwan, China",2016,955808
Japan,2017,461922
Philippines,2017,26394
Singapore,2017,72914
Thailand,2017,29216
